AL	AP	DAL	StartOffset	EndOffset	LAAL	NumChunks	RTF
1398.447	0.922	1721.87	1664.625	1323.84	1493.304	15	1.332
1782.552	0.649	1868.829	1767.049	723.565	1782.552	14	1.167
