AL	AP	DAL	StartOffset	EndOffset	LAAL	NumChunks	DiscontinuitySum	DiscontinuityAve	DiscontinuityNum	RTF
2070.711	0.74	1947.845	1692.718	1076.0	2070.711	11	220.0	110.0	2	1.27
2764.09	0.418	2196.469	1808.705	1656.0	2764.09	8	0.0	0.0	0	1.381
